match_no,date,batting_team,striker,venue,runs,balls,fours,sixes,dismissed,sr
46,2026-05-03,PBKS,Priyansh Arya,Narendra Modi Stadium,2,2,0,0,1,100.0
46,2026-05-03,PBKS,Shreyas Iyer,Narendra Modi Stadium,19,21,3,0,1,90.48
46,2026-05-03,PBKS,Suryansh Shedge,Narendra Modi Stadium,57,29,3,5,1,196.55
46,2026-05-03,PBKS,Vijaykumar Vyshak,Narendra Modi Stadium,1,3,0,0,0,33.33
46,2026-05-03,PBKS,Xavier Bartlett,Narendra Modi Stadium,0,1,0,0,1,0.0
47,2026-05-04,LSG,Aiden Markram,Wankhede Stadium,31,25,1,1,0,124.0
47,2026-05-04,LSG,Akshat Raghuwanshi,Wankhede Stadium,11,7,0,1,1,157.14
47,2026-05-04,LSG,Himmat Singh,Wankhede Stadium,40,31,2,2,0,129.03
47,2026-05-04,LSG,Josh Inglis,Wankhede Stadium,13,5,3,0,1,260.0
47,2026-05-04,LSG,Mitchell Marsh,Wankhede Stadium,44,25,4,3,1,176.0
47,2026-05-04,LSG,Nicholas Pooran,Wankhede Stadium,63,21,1,8,1,300.0
47,2026-05-04,LSG,Rishabh Pant,Wankhede Stadium,15,10,1,1,1,150.0
47,2026-05-04,MI,Naman Dhir,Wankhede Stadium,23,12,3,1,0,191.67
47,2026-05-04,MI,Rohit Sharma,Wankhede Stadium,84,44,6,7,1,190.91
47,2026-05-04,MI,Ryan Rickelton,Wankhede Stadium,83,32,6,8,1,259.38
47,2026-05-04,MI,Suryakumar Yadav,Wankhede Stadium,12,7,2,0,1,171.43
47,2026-05-04,MI,Tilak Varma,Wankhede Stadium,11,13,0,0,1,84.62
47,2026-05-04,MI,Will Jacks,Wankhede Stadium,10,4,0,1,0,250.0
48,2026-05-05,CSK,Kartik Sharma,Arun Jaitley Stadium,41,31,4,2,0,132.26
48,2026-05-05,CSK,Ruturaj Gaikwad,Arun Jaitley Stadium,6,13,1,0,1,46.15
48,2026-05-05,CSK,Sanju Samson,Arun Jaitley Stadium,85,51,7,6,0,166.67
48,2026-05-05,CSK,Urvil Patel,Arun Jaitley Stadium,17,9,0,2,1,188.89
48,2026-05-05,DC,Ashutosh Sharma,Arun Jaitley Stadium,14,5,0,2,1,280.0
48,2026-05-05,DC,Axar Patel,Arun Jaitley Stadium,2,6,0,0,1,33.33
48,2026-05-05,DC,Karun Nair,Arun Jaitley Stadium,13,13,2,0,1,100.0
48,2026-05-05,DC,Nitish Rana,Arun Jaitley Stadium,15,13,2,0,1,115.38
48,2026-05-05,DC,Pathum Nissanka,Arun Jaitley Stadium,19,15,3,1,1,126.67
48,2026-05-05,DC,Rahul,Arun Jaitley Stadium,12,13,2,0,1,92.31
48,2026-05-05,DC,Sameer Rizvi,Arun Jaitley Stadium,40,24,0,4,0,166.67
48,2026-05-05,DC,Tristan Stubbs,Arun Jaitley Stadium,38,31,1,2,1,122.58
49,2026-05-06,PBKS,Cooper Connolly,Rajiv Gandhi International Stadium,107,59,7,8,0,181.36
49,2026-05-06,PBKS,Marco Jansen,Rajiv Gandhi International Stadium,19,16,0,1,1,118.75
49,2026-05-06,PBKS,Marcus Stoinis,Rajiv Gandhi International Stadium,28,14,3,2,1,200.0
49,2026-05-06,PBKS,Prabhsimran Singh,Rajiv Gandhi International Stadium,3,4,0,0,1,75.0
49,2026-05-06,PBKS,Priyansh Arya,Rajiv Gandhi International Stadium,1,3,0,0,1,33.33
49,2026-05-06,PBKS,Shashank Singh,Rajiv Gandhi International Stadium,4,3,1,0,1,133.33
49,2026-05-06,PBKS,Shreyas Iyer,Rajiv Gandhi International Stadium,5,5,1,0,1,100.0
49,2026-05-06,PBKS,Suryansh Shedge,Rajiv Gandhi International Stadium,25,17,1,2,1,147.06
49,2026-05-06,PBKS,Vijaykumar Vyshak,Rajiv Gandhi International Stadium,1,1,0,0,0,100.0
49,2026-05-06,SRH,Abhishek Sharma,Rajiv Gandhi International Stadium,35,13,2,4,1,269.23
49,2026-05-06,SRH,Heinrich Klaasen,Rajiv Gandhi International Stadium,69,43,3,4,1,160.47
49,2026-05-06,SRH,Ishan Kishan,Rajiv Gandhi International Stadium,55,32,2,4,1,171.88
49,2026-05-06,SRH,Nitish Reddy,Rajiv Gandhi International Stadium,29,13,2,2,0,223.08
49,2026-05-06,SRH,Travis Head,Rajiv Gandhi International Stadium,38,19,3,3,1,200.0
50,2026-05-07,LSG,Aiden Markram,Ekana Cricket Stadium,1,1,0,0,0,100.0
50,2026-05-07,LSG,Arshin Kulkarni,Ekana Cricket Stadium,17,24,1,0,1,70.83
50,2026-05-07,LSG,Mitchell Marsh,Ekana Cricket Stadium,111,56,9,9,1,198.21
50,2026-05-07,LSG,Nicholas Pooran,Ekana Cricket Stadium,38,23,4,1,1,165.22
50,2026-05-07,LSG,Rishabh Pant,Ekana Cricket Stadium,32,10,4,2,0,320.0
50,2026-05-07,RCB,Devdutt Padikkal,Ekana Cricket Stadium,34,25,3,1,1,136.0
50,2026-05-07,RCB,Jacob Bethell,Ekana Cricket Stadium,4,5,1,0,1,80.0
50,2026-05-07,RCB,Jitesh Sharma,Ekana Cricket Stadium,1,3,0,0,1,33.33
50,2026-05-07,RCB,Krunal Pandya,Ekana Cricket Stadium,28,16,2,2,0,175.0
50,2026-05-07,RCB,Rajat Patidar,Ekana Cricket Stadium,61,31,3,6,1,196.77
50,2026-05-07,RCB,Romario Shepherd,Ekana Cricket Stadium,23,15,3,1,0,153.33
50,2026-05-07,RCB,Tim David,Ekana Cricket Stadium,40,17,4,3,1,235.29
50,2026-05-07,RCB,Virat Kohli,Ekana Cricket Stadium,0,2,0,0,1,0.0
51,2026-05-08,DC,Ashutosh Sharma,Arun Jaitley Stadium,39,28,3,3,1,139.29
51,2026-05-08,DC,Axar Patel,Arun Jaitley Stadium,11,22,0,0,1,50.0
51,2026-05-08,DC,Lungi Ngidi,Arun Jaitley Stadium,1,1,0,0,0,100.0
51,2026-05-08,DC,Mitchell Starc,Arun Jaitley Stadium,0,2,0,0,1,0.0
51,2026-05-08,DC,Nitish Rana,Arun Jaitley Stadium,8,10,1,0,1,80.0
51,2026-05-08,DC,Pathum Nissanka,Arun Jaitley Stadium,50,29,5,3,0,172.41
51,2026-05-08,DC,Rahul,Arun Jaitley Stadium,23,14,4,0,1,164.29
51,2026-05-08,DC,Sameer Rizvi,Arun Jaitley Stadium,3,7,0,0,1,42.86
51,2026-05-08,DC,Tristan Stubbs,Arun Jaitley Stadium,2,4,0,0,1,50.0
51,2026-05-08,DC,Vipraj Nigam,Arun Jaitley Stadium,3,3,0,0,0,100.0
51,2026-05-08,KKR,Ajinkya Rahane,Arun Jaitley Stadium,13,9,1,1,0,144.44
51,2026-05-08,KKR,Angkrish Raghuvanshi,Arun Jaitley Stadium,1,3,0,0,1,33.33
51,2026-05-08,KKR,Cameron Green,Arun Jaitley Stadium,33,27,0,2,0,122.22
51,2026-05-08,KKR,Finn Allen,Arun Jaitley Stadium,100,47,5,10,1,212.77
52,2026-05-09,GT,Jason Holder,Sawai Mansingh Stadium,7,7,1,0,1,100.0
52,2026-05-09,GT,Jos Buttler,Sawai Mansingh Stadium,13,10,1,1,1,130.0
52,2026-05-09,GT,Rahul Tewatia,Sawai Mansingh Stadium,14,4,0,2,0,350.0
52,2026-05-09,GT,Sai Sudharsan,Sawai Mansingh Stadium,55,36,6,2,1,152.78
52,2026-05-09,GT,Shubman Gill,Sawai Mansingh Stadium,84,44,9,3,1,190.91
52,2026-05-09,GT,Washington Sundar,Sawai Mansingh Stadium,37,20,2,3,0,185.0
52,2026-05-09,RR,Brijesh Sharma,Sawai Mansingh Stadium,1,1,0,0,0,100.0
52,2026-05-09,RR,Dasun Shanaka,Sawai Mansingh Stadium,16,11,2,0,1,145.45
52,2026-05-09,RR,Dhruv Jurel,Sawai Mansingh Stadium,24,10,1,3,1,240.0
52,2026-05-09,RR,Donovan Ferreira,Sawai Mansingh Stadium,4,2,1,0,1,200.0
52,2026-05-09,RR,Jofra Archer,Sawai Mansingh Stadium,5,6,1,0,1,83.33
52,2026-05-09,RR,Ravindra Jadeja,Sawai Mansingh Stadium,38,25,3,2,1,152.0
52,2026-05-09,RR,Shimron Hetmyer,Sawai Mansingh Stadium,6,7,1,0,1,85.71
52,2026-05-09,RR,Shubham Dubey,Sawai Mansingh Stadium,15,14,1,1,1,107.14
52,2026-05-09,RR,Tushar Deshpande,Sawai Mansingh Stadium,1,3,0,0,1,33.33
52,2026-05-09,RR,Vaibhav Sooryavanshi,Sawai Mansingh Stadium,36,16,3,3,1,225.0
52,2026-05-09,RR,Yashasvi Jaiswal,Sawai Mansingh Stadium,3,4,0,0,1,75.0
53,2026-05-10,CSK,Dewald Brevis,MA Chidambaram Stadium,10,12,1,0,1,83.33
53,2026-05-10,CSK,Kartik Sharma,MA Chidambaram Stadium,20,20,1,0,1,100.0
53,2026-05-10,CSK,Prashant Veer,MA Chidambaram Stadium,18,12,0,2,0,150.0
53,2026-05-10,CSK,Ruturaj Gaikwad,MA Chidambaram Stadium,42,28,3,2,1,150.0
53,2026-05-10,CSK,Sanju Samson,MA Chidambaram Stadium,28,14,3,2,1,200.0
53,2026-05-10,CSK,Shivam Dube,MA Chidambaram Stadium,15,7,0,2,0,214.29
53,2026-05-10,CSK,Urvil Patel,MA Chidambaram Stadium,65,23,2,8,1,282.61
53,2026-05-10,LSG,Aiden Markram,MA Chidambaram Stadium,6,7,0,0,0,85.71
53,2026-05-10,LSG,Akshat Raghuwanshi,MA Chidambaram Stadium,18,18,1,0,1,100.0
53,2026-05-10,LSG,Himmat Singh,MA Chidambaram Stadium,17,12,1,1,1,141.67
53,2026-05-10,LSG,Josh Inglis,MA Chidambaram Stadium,81,33,9,6,1,245.45
53,2026-05-10,LSG,Mitchell Marsh,MA Chidambaram Stadium,10,10,0,1,1,100.0
53,2026-05-10,LSG,Mohammed Shami,MA Chidambaram Stadium,0,1,0,0,1,0.0
53,2026-05-10,LSG,Nicholas Pooran,MA Chidambaram Stadium,1,3,0,0,1,33.33
53,2026-05-10,LSG,Rishabh Pant,MA Chidambaram Stadium,15,12,2,0,1,125.0
53,2026-05-10,LSG,Shahbaz Ahmed,MA Chidambaram Stadium,43,25,3,3,0,172.0
54,2026-05-10,MI,Corbin Bosch,Shaheed Veer Narayan Singh Stadium,5,5,0,0,0,100.0
54,2026-05-10,MI,Deepak Chahar,Shaheed Veer Narayan Singh Stadium,1,2,0,0,0,50.0
54,2026-05-10,MI,Naman Dhir,Shaheed Veer Narayan Singh Stadium,47,32,5,2,1,146.88
54,2026-05-10,MI,Raj Bawa,Shaheed Veer Narayan Singh Stadium,16,14,1,0,1,114.29
54,2026-05-10,MI,Rohit Sharma,Shaheed Veer Narayan Singh Stadium,22,10,2,2,1,220.0
54,2026-05-10,MI,Ryan Rickelton,Shaheed Veer Narayan Singh Stadium,2,4,0,0,1,50.0
54,2026-05-10,MI,Suryakumar Yadav,Shaheed Veer Narayan Singh Stadium,0,1,0,0,1,0.0
54,2026-05-10,MI,Tilak Varma,Shaheed Veer Narayan Singh Stadium,57,42,3,2,1,135.71
54,2026-05-10,MI,Will Jacks,Shaheed Veer Narayan Singh Stadium,10,10,1,0,1,100.0
54,2026-05-10,RCB,Bhuvneshwar Kumar,Shaheed Veer Narayan Singh Stadium,7,2,0,1,0,350.0
54,2026-05-10,RCB,Devdutt Padikkal,Shaheed Veer Narayan Singh Stadium,12,11,1,1,1,109.09
54,2026-05-10,RCB,Jacob Bethell,Shaheed Veer Narayan Singh Stadium,27,27,2,0,1,100.0
54,2026-05-10,RCB,Jitesh Sharma,Shaheed Veer Narayan Singh Stadium,18,12,1,2,1,150.0
54,2026-05-10,RCB,Krunal Pandya,Shaheed Veer Narayan Singh Stadium,73,46,4,5,1,158.7
54,2026-05-10,RCB,Rajat Patidar,Shaheed Veer Narayan Singh Stadium,8,8,1,0,1,100.0
54,2026-05-10,RCB,Rasikh Salam Dar,Shaheed Veer Narayan Singh Stadium,3,2,0,0,0,150.0
54,2026-05-10,RCB,Romario Shepherd,Shaheed Veer Narayan Singh Stadium,4,11,0,0,1,36.36
54,2026-05-10,RCB,Tim David,Shaheed Veer Narayan Singh Stadium,0,1,0,0,1,0.0
54,2026-05-10,RCB,Virat Kohli,Shaheed Veer Narayan Singh Stadium,0,1,0,0,1,0.0
55,2026-05-11,DC,Abishek Porel,HPCA Stadium,5,6,1,0,1,83.33
55,2026-05-11,DC,Ashutosh Sharma,HPCA Stadium,24,10,2,2,1,240.0
55,2026-05-11,DC,Auqib Nabi,HPCA Stadium,10,2,1,1,0,500.0
55,2026-05-11,DC,Axar Patel,HPCA Stadium,56,30,8,2,1,186.67
55,2026-05-11,DC,David Miller,HPCA Stadium,51,28,3,4,1,182.14
55,2026-05-11,DC,KL Rahul,HPCA Stadium,0,1,0,0,0,0.0
55,2026-05-11,DC,Madhav Tiwari,HPCA Stadium,18,8,2,1,0,225.0
55,2026-05-11,DC,Rahul,HPCA Stadium,9,7,2,0,1,128.57
55,2026-05-11,DC,Sahil Parakh,HPCA Stadium,13,6,1,1,1,216.67
55,2026-05-11,DC,Tristan Stubbs,HPCA Stadium,12,17,1,0,0,70.59
55,2026-05-11,PBKS,Cooper Connolly,HPCA Stadium,38,27,3,2,1,140.74
55,2026-05-11,PBKS,Marcus Stoinis,HPCA Stadium,1,2,0,0,1,50.0
55,2026-05-11,PBKS,Prabhsimran Singh,HPCA Stadium,18,15,3,0,1,120.0
55,2026-05-11,PBKS,Priyansh Arya,HPCA Stadium,56,33,2,6,1,169.7
55,2026-05-11,PBKS,Shashank Singh,HPCA Stadium,0,1,0,0,1,0.0
55,2026-05-11,PBKS,Shreyas Iyer,HPCA Stadium,59,36,5,3,0,163.89
55,2026-05-11,PBKS,Suryansh Shedge,HPCA Stadium,21,8,2,2,0,262.5
56,2026-05-12,GT,Jason Holder,Narendra Modi Stadium,11,10,0,0,0,110.0
56,2026-05-12,GT,Jos Buttler,Narendra Modi Stadium,7,11,1,0,1,63.64
56,2026-05-12,GT,Nishant Sindhu,Narendra Modi Stadium,22,14,3,1,1,157.14
56,2026-05-12,GT,Rahul Tewatia,Narendra Modi Stadium,4,1,1,0,0,400.0
56,2026-05-12,GT,Sai Sudharsan,Narendra Modi Stadium,61,44,5,2,1,138.64
56,2026-05-12,GT,Shubman Gill,Narendra Modi Stadium,5,7,1,0,1,71.43
56,2026-05-12,GT,Washington Sundar,Narendra Modi Stadium,50,33,7,1,1,151.52
56,2026-05-12,SRH,Abhishek Sharma,Narendra Modi Stadium,6,4,0,1,1,150.0
56,2026-05-12,SRH,Eshan Malinga,Narendra Modi Stadium,0,3,0,0,0,0.0
56,2026-05-12,SRH,Heinrich Klaasen,Narendra Modi Stadium,14,16,2,0,1,87.5
56,2026-05-12,SRH,Ishan Kishan,Narendra Modi Stadium,11,7,1,1,1,157.14
56,2026-05-12,SRH,Nitish Reddy,Narendra Modi Stadium,2,4,0,0,1,50.0
56,2026-05-12,SRH,Pat Cummins,Narendra Modi Stadium,19,9,1,2,1,211.11
56,2026-05-12,SRH,Praful Hinge,Narendra Modi Stadium,3,8,0,0,1,37.5
56,2026-05-12,SRH,Salil Arora,Narendra Modi Stadium,16,13,3,0,1,123.08
56,2026-05-12,SRH,Shivang Kumar,Narendra Modi Stadium,4,6,0,0,1,66.67
56,2026-05-12,SRH,Smaran Ravichandran,Narendra Modi Stadium,9,15,1,0,1,60.0
56,2026-05-12,SRH,Travis Head,Narendra Modi Stadium,0,4,0,0,1,0.0
57,2026-05-13,KKR,Ajinkya Rahane,Shaheed Veer Narayan Singh Stadium,19,13,3,1,1,146.15
57,2026-05-13,KKR,Angkrish Raghuvanshi,Shaheed Veer Narayan Singh Stadium,71,46,7,3,0,154.35
57,2026-05-13,KKR,Cameron Green,Shaheed Veer Narayan Singh Stadium,32,24,3,1,1,133.33
57,2026-05-13,KKR,Finn Allen,Shaheed Veer Narayan Singh Stadium,18,8,3,1,1,225.0
57,2026-05-13,KKR,Rinku Singh,Shaheed Veer Narayan Singh Stadium,49,29,3,2,1,168.97
57,2026-05-13,RCB,Devdutt Padikkal,Shaheed Veer Narayan Singh Stadium,39,27,7,0,1,144.44
57,2026-05-13,RCB,Jacob Bethell,Shaheed Veer Narayan Singh Stadium,15,12,2,1,1,125.0
57,2026-05-13,RCB,Jitesh Sharma,Shaheed Veer Narayan Singh Stadium,8,5,1,0,0,160.0
57,2026-05-13,RCB,Rajat Patidar,Shaheed Veer Narayan Singh Stadium,11,8,0,1,1,137.5
57,2026-05-13,RCB,Tim David,Shaheed Veer Narayan Singh Stadium,2,3,0,0,1,66.67
57,2026-05-13,RCB,Virat Kohli,Shaheed Veer Narayan Singh Stadium,105,60,11,3,0,175.0
58,2026-05-14,MI,Naman Dhir,HPCA Stadium,9,6,0,1,1,150.0
58,2026-05-14,MI,Rohit Sharma,HPCA Stadium,25,26,0,2,1,96.15
58,2026-05-14,MI,Ryan Rickelton,HPCA Stadium,48,23,4,4,1,208.7
58,2026-05-14,MI,Sherfane Rutherford,HPCA Stadium,20,21,1,1,1,95.24
58,2026-05-14,MI,Tilak Varma,HPCA Stadium,75,33,6,6,0,227.27
58,2026-05-14,MI,Will Jacks,HPCA Stadium,25,10,2,2,0,250.0
58,2026-05-14,PBKS,Azmatullah Omarzai,HPCA Stadium,38,17,2,4,1,223.53
58,2026-05-14,PBKS,Cooper Connolly,HPCA Stadium,21,22,2,1,1,95.45
58,2026-05-14,PBKS,Marco Jansen,HPCA Stadium,2,7,0,0,1,28.57
58,2026-05-14,PBKS,Prabhsimran Singh,HPCA Stadium,57,32,6,4,1,178.12
58,2026-05-14,PBKS,Priyansh Arya,HPCA Stadium,22,17,4,0,1,129.41
58,2026-05-14,PBKS,Shashank Singh,HPCA Stadium,2,3,0,0,1,66.67
58,2026-05-14,PBKS,Shreyas Iyer,HPCA Stadium,4,2,1,0,1,200.0
58,2026-05-14,PBKS,Suryansh Shedge,HPCA Stadium,8,5,0,1,1,160.0
58,2026-05-14,PBKS,Vishnu Vinod,HPCA Stadium,15,8,1,1,0,187.5
58,2026-05-14,PBKS,Xavier Bartlett,HPCA Stadium,18,7,2,1,0,257.14
59,2026-05-15,CSK,Dewald Brevis,Ekana Cricket Stadium,25,16,0,2,1,156.25
59,2026-05-15,CSK,Kartik Sharma,Ekana Cricket Stadium,71,42,6,5,1,169.05
59,2026-05-15,CSK,Prashant Veer,Ekana Cricket Stadium,13,10,1,0,0,130.0
59,2026-05-15,CSK,Ruturaj Gaikwad,Ekana Cricket Stadium,13,9,2,0,1,144.44
59,2026-05-15,CSK,Sanju Samson,Ekana Cricket Stadium,20,20,3,0,1,100.0
59,2026-05-15,CSK,Shivam Dube,Ekana Cricket Stadium,32,16,3,2,0,200.0
59,2026-05-15,CSK,Urvil Patel,Ekana Cricket Stadium,6,7,1,0,1,85.71
59,2026-05-15,LSG,Abdul Samad,Ekana Cricket Stadium,7,3,0,1,1,233.33
59,2026-05-15,LSG,Josh Inglis,Ekana Cricket Stadium,36,32,3,1,1,112.5
59,2026-05-15,LSG,Mitchell Marsh,Ekana Cricket Stadium,90,38,9,7,0,236.84
59,2026-05-15,LSG,Mukul Choudhary,Ekana Cricket Stadium,13,10,2,0,0,130.0
59,2026-05-15,LSG,Nicholas Pooran,Ekana Cricket Stadium,32,17,1,4,1,188.24
60,2026-05-16,GT,Jos Buttler,Eden Gardens,57,35,5,2,1,162.86
60,2026-05-16,GT,Nishant Sindhu,Eden Gardens,1,4,0,0,1,25.0
60,2026-05-16,GT,Rahul Tewatia,Eden Gardens,2,4,0,0,1,50.0
60,2026-05-16,GT,Sai Sudharsan,Eden Gardens,53,28,6,3,0,189.29
60,2026-05-16,GT,Shubman Gill,Eden Gardens,85,49,5,7,1,173.47
60,2026-05-16,KKR,Ajinkya Rahane,Eden Gardens,14,14,1,1,1,100.0
60,2026-05-16,KKR,Angkrish Raghuvanshi,Eden Gardens,82,44,4,7,0,186.36
60,2026-05-16,KKR,Cameron Green,Eden Gardens,52,28,3,4,0,185.71
60,2026-05-16,KKR,Finn Allen,Eden Gardens,93,35,4,10,1,265.71
61,2026-05-17,PBKS,Azmatullah Omarzai,HPCA Stadium,14,10,1,1,1,140.0
61,2026-05-17,PBKS,Cooper Connolly,HPCA Stadium,37,22,3,3,1,168.18
61,2026-05-17,PBKS,Harpreet Brar,HPCA Stadium,5,3,1,0,0,166.67
61,2026-05-17,PBKS,Marcus Stoinis,HPCA Stadium,37,25,5,0,1,148.0
61,2026-05-17,PBKS,Prabhsimran Singh,HPCA Stadium,2,5,0,0,1,40.0
61,2026-05-17,PBKS,Priyansh Arya,HPCA Stadium,0,3,0,0,1,0.0
61,2026-05-17,PBKS,Shashank Singh,HPCA Stadium,56,27,4,4,1,207.41
61,2026-05-17,PBKS,Shreyas Iyer,HPCA Stadium,1,3,0,0,1,33.33
61,2026-05-17,PBKS,Suryansh Shedge,HPCA Stadium,35,22,2,2,1,159.09
61,2026-05-17,RCB,Devdutt Padikkal,HPCA Stadium,45,25,4,3,1,180.0
61,2026-05-17,RCB,Jacob Bethell,HPCA Stadium,11,7,2,0,1,157.14
61,2026-05-17,RCB,Tim David,HPCA Stadium,28,12,2,2,1,233.33
61,2026-05-17,RCB,Venkatesh Iyer,HPCA Stadium,73,40,8,4,0,182.5
61,2026-05-17,RCB,Virat Kohli,HPCA Stadium,58,37,4,3,1,156.76
62,2026-05-17,DC,Abishek Porel,Arun Jaitley Stadium,51,31,7,1,1,164.52
62,2026-05-17,DC,Ashutosh Sharma,Arun Jaitley Stadium,18,5,1,2,0,360.0
62,2026-05-17,DC,Axar Patel,Arun Jaitley Stadium,34,18,2,2,0,188.89
62,2026-05-17,DC,David Miller,Arun Jaitley Stadium,9,6,0,1,1,150.0
62,2026-05-17,DC,Rahul,Arun Jaitley Stadium,56,42,1,3,1,133.33
62,2026-05-17,DC,Sahil Parakh,Arun Jaitley Stadium,9,8,1,0,1,112.5
62,2026-05-17,DC,Tristan Stubbs,Arun Jaitley Stadium,4,6,0,0,1,66.67
62,2026-05-17,RR,Adam Milne,Arun Jaitley Stadium,2,2,0,0,0,100.0
62,2026-05-17,RR,Dasun Shanaka,Arun Jaitley Stadium,10,8,0,1,1,125.0
62,2026-05-17,RR,Dhruv Jurel,Arun Jaitley Stadium,53,40,5,2,1,132.5
62,2026-05-17,RR,Donovan Ferreira,Arun Jaitley Stadium,0,1,0,0,1,0.0
62,2026-05-17,RR,Jofra Archer,Arun Jaitley Stadium,2,2,0,0,0,100.0
62,2026-05-17,RR,Ravi Singh,Arun Jaitley Stadium,4,2,1,0,1,200.0
62,2026-05-17,RR,Riyan Parag,Arun Jaitley Stadium,51,26,3,5,1,196.15
62,2026-05-17,RR,Shubham Dubey,Arun Jaitley Stadium,5,9,0,0,1,55.56
62,2026-05-17,RR,Vaibhav Sooryavanshi,Arun Jaitley Stadium,46,21,5,3,1,219.05
62,2026-05-17,RR,Yashasvi Jaiswal,Arun Jaitley Stadium,12,9,3,0,1,133.33
63,2026-05-18,CSK,Akeal Hosein,MA Chidambaram Stadium,3,1,0,0,0,300.0
63,2026-05-18,CSK,Dewald Brevis,MA Chidambaram Stadium,44,27,2,4,1,162.96
63,2026-05-18,CSK,Kartik Sharma,MA Chidambaram Stadium,32,19,3,2,1,168.42
63,2026-05-18,CSK,Prashant Veer,MA Chidambaram Stadium,11,9,2,0,1,122.22
63,2026-05-18,CSK,Ruturaj Gaikwad,MA Chidambaram Stadium,15,21,0,0,1,71.43
63,2026-05-18,CSK,Sanju Samson,MA Chidambaram Stadium,27,13,5,1,1,207.69
63,2026-05-18,CSK,Shivam Dube,MA Chidambaram Stadium,26,23,3,1,1,113.04
63,2026-05-18,CSK,Urvil Patel,MA Chidambaram Stadium,13,8,0,2,1,162.5
63,2026-05-18,SRH,Abhishek Sharma,MA Chidambaram Stadium,26,21,3,1,1,123.81
63,2026-05-18,SRH,Heinrich Klaasen,MA Chidambaram Stadium,47,26,6,2,1,180.77
63,2026-05-18,SRH,Ishan Kishan,MA Chidambaram Stadium,71,47,7,3,1,151.06
63,2026-05-18,SRH,Nitish Reddy,MA Chidambaram Stadium,11,7,1,0,1,157.14
63,2026-05-18,SRH,Salil Arora,MA Chidambaram Stadium,10,5,0,1,0,200.0
63,2026-05-18,SRH,Smaran Ravichandran,MA Chidambaram Stadium,5,2,1,0,0,250.0
63,2026-05-18,SRH,Travis Head,MA Chidambaram Stadium,6,6,1,0,1,100.0
64,2026-05-19,LSG,Ayush Badoni,Sawai Mansingh Stadium,0,1,0,0,1,0.0
64,2026-05-19,LSG,Josh Inglis,Sawai Mansingh Stadium,60,29,7,3,1,206.9
64,2026-05-19,LSG,Mitchell Marsh,Sawai Mansingh Stadium,96,57,11,5,1,168.42
64,2026-05-19,LSG,Nicholas Pooran,Sawai Mansingh Stadium,16,11,0,2,1,145.45
64,2026-05-19,LSG,Rishabh Pant,Sawai Mansingh Stadium,35,23,2,2,0,152.17
64,2026-05-19,RR,Dhruv Jurel,Sawai Mansingh Stadium,53,38,3,3,1,139.47
64,2026-05-19,RR,Donovan Ferreira,Sawai Mansingh Stadium,16,10,1,1,0,160.0
64,2026-05-19,RR,Lhuan-dre Pretorius,Sawai Mansingh Stadium,7,6,0,0,0,116.67
64,2026-05-19,RR,Vaibhav Sooryavanshi,Sawai Mansingh Stadium,93,38,7,10,1,244.74
64,2026-05-19,RR,Yashasvi Jaiswal,Sawai Mansingh Stadium,43,23,8,1,1,186.96
65,2026-05-20,KKR,Ajinkya Rahane,Eden Gardens,21,17,4,0,1,123.53
65,2026-05-20,KKR,Anukul Roy,Eden Gardens,4,4,0,0,0,100.0
65,2026-05-20,KKR,Cameron Green,Eden Gardens,4,8,0,0,1,50.0
65,2026-05-20,KKR,Finn Allen,Eden Gardens,8,5,2,0,1,160.0
65,2026-05-20,KKR,Manish Pandey,Eden Gardens,45,33,6,0,1,136.36
65,2026-05-20,KKR,Rinku Singh,Eden Gardens,9,5,2,0,0,180.0
65,2026-05-20,KKR,Rovman Powell,Eden Gardens,40,30,4,2,1,133.33
65,2026-05-20,KKR,Tejasvi Dahiya,Eden Gardens,11,12,2,0,1,91.67
65,2026-05-20,MI,Corbin Bosch,Eden Gardens,32,18,3,2,0,177.78
65,2026-05-20,MI,Deepak Chahar,Eden Gardens,10,7,2,0,1,142.86
65,2026-05-20,MI,Hardik Pandya,Eden Gardens,26,27,2,1,1,96.3
65,2026-05-20,MI,Naman Dhir,Eden Gardens,0,3,0,0,1,0.0
65,2026-05-20,MI,Rohit Sharma,Eden Gardens,15,13,0,2,1,115.38
65,2026-05-20,MI,Ryan Rickelton,Eden Gardens,6,7,1,0,1,85.71
65,2026-05-20,MI,Suryakumar Yadav,Eden Gardens,15,6,2,1,1,250.0
65,2026-05-20,MI,Tilak Varma,Eden Gardens,20,32,0,1,1,62.5
65,2026-05-20,MI,Will Jacks,Eden Gardens,14,7,1,1,1,200.0
66,2026-05-21,CSK,Anshul Kamboj,Narendra Modi Stadium,19,8,1,2,1,237.5
66,2026-05-21,CSK,Dewald Brevis,Narendra Modi Stadium,8,10,0,0,1,80.0
66,2026-05-21,CSK,Kartik Sharma,Narendra Modi Stadium,19,15,3,0,1,126.67
66,2026-05-21,CSK,Matthew Short,Narendra Modi Stadium,24,14,3,1,1,171.43
66,2026-05-21,CSK,Mukesh Choudhary,Narendra Modi Stadium,2,2,0,0,0,100.0
66,2026-05-21,CSK,Noor Ahmad,Narendra Modi Stadium,1,5,0,0,1,20.0
66,2026-05-21,CSK,Ruturaj Gaikwad,Narendra Modi Stadium,16,7,1,2,1,228.57
66,2026-05-21,CSK,Sanju Samson,Narendra Modi Stadium,0,1,0,0,1,0.0
