bowler,venue,wickets,runs,legal_balls,innings,overs,economy
Xavier Bartlett,New PCA Cricket Stadium,1,133,73,3,12.17,10.93
Xavier Bartlett,Narendra Modi Stadium,0,39,24,1,4.0,9.75
Xavier Bartlett,Wankhede Stadium,0,39,24,1,4.0,9.75
Yash Raj Punja,Arun Jaitley Stadium,0,29,24,1,4.0,7.25
Yash Raj Punja,Eden Gardens,1,26,24,1,4.0,6.5
Yash Raj Punja,New PCA Cricket Stadium,3,109,60,3,10.0,10.9
Yash Raj Punja,Sawai Mansingh Stadium,3,74,48,2,8.0,9.25
Yash Raj Punja,Wankhede Stadium,2,44,24,1,4.0,11.0
Yash Thakur,HPCA Stadium,2,55,25,1,4.17,13.19
Yuzvendra Chahal,Arun Jaitley Stadium,0,42,25,1,4.17,10.07
Yuzvendra Chahal,Ekana Cricket Stadium,2,25,24,1,4.0,6.25
Yuzvendra Chahal,HPCA Stadium,2,74,43,2,7.17,10.32
Yuzvendra Chahal,MA Chidambaram Stadium,1,21,19,1,3.17,6.62
Yuzvendra Chahal,New PCA Cricket Stadium,7,134,91,4,15.17,8.83
Yuzvendra Chahal,Narendra Modi Stadium,0,13,6,1,1.0,13.0
Yuzvendra Chahal,Rajiv Gandhi International Stadium,1,34,24,1,4.0,8.5
Yuzvendra Chahal,Wankhede Stadium,0,45,18,1,3.0,15.0
